season,player_name,team,rz_targets,rz_receptions,rz_catch_rate,rz_rec_yards,rz_rec_tds,rz_target_share,rz10_targets,rz10_receptions,rz10_catch_rate,rz10_rec_yards,rz10_rec_tds,rz10_target_share
2013,andre ellington,ARI,5,3,60.0,28,0,7.4,1,0,0.0,0,0,3.0
2013,ted ginn,CAR,5,2,40.0,7,1,9.4,2,1,50.0,3,1,8.7
2013,stephen hill,NYJ,5,0,0.0,0,0,10.2,2,0,0.0,0,0,8.3
2013,keshawn martin,HOU,5,3,60.0,30,2,7.7,4,2,50.0,15,1,10.5
2013,rishard matthews,MIA,5,3,60.0,32,2,7.8,2,1,50.0,6,1,7.7
2013,lesean mccoy,PHI,5,5,100.0,22,1,8.9,2,2,100.0,11,1,8.7
2013,lamar miller,MIA,5,4,80.0,9,0,7.8,0,0,,0,0,0.0
2013,isaiah pead,STL,5,1,20.0,6,0,6.8,4,0,0.0,0,0,10.0
2013,sidney rice,SEA,5,1,20.0,11,1,10.2,1,0,0.0,0,0,4.3
2013,jason snelling,ATL,5,5,100.0,30,3,5.5,3,3,100.0,20,3,6.1
2013,ben tate,HOU,5,3,60.0,15,0,7.7,2,1,50.0,7,0,5.3
2013,nate washington,TEN,5,4,80.0,23,1,9.3,2,2,100.0,10,1,6.9
2013,matt asiata,MIN,4,3,75.0,15,0,6.6,2,1,50.0,2,0,7.7
2013,donnie avery,KAN,4,3,75.0,16,1,5.3,2,1,50.0,5,1,6.1
2013,montee ball,DEN,4,4,100.0,11,0,3.6,1,1,100.0,0,0,1.7
2013,gary barnidge,CLE,4,2,50.0,12,1,5.5,2,1,50.0,4,1,4.9
2013,joique bell,DET,4,3,75.0,24,0,5.3,2,1,50.0,0,0,5.9
2013,andre brown,NYG,4,3,75.0,11,0,7.3,1,1,100.0,4,0,5.0
2013,nate burleson,DET,4,4,100.0,36,1,5.3,1,1,100.0,5,1,2.9
2013,andre caldwell,DEN,4,2,50.0,20,2,3.6,2,1,50.0,5,1,3.3
2013,fred davis,WAS,4,2,50.0,13,0,6.5,2,0,0.0,0,0,6.3
2013,gavin escobar,DAL,4,1,25.0,17,1,6.2,2,0,0.0,0,0,5.0
2013,jermichael finley,GNB,4,4,100.0,29,3,4.7,2,2,100.0,13,2,4.0
2013,tj graham,BUF,4,1,25.0,12,1,10.8,2,0,0.0,0,0,11.1
2013,ladarius green,SDG,4,2,50.0,17,0,4.6,0,0,,0,0,0.0
2013,jermaine gresham,CIN,4,4,100.0,22,3,6.3,2,2,100.0,5,2,5.9
2013,santonio holmes,NYJ,4,1,25.0,8,0,8.2,2,0,0.0,0,0,8.3
2013,michael hoomanawanui,NWE,4,1,25.0,13,1,5.0,1,0,0.0,0,0,2.6
2013,justin hunter,TEN,4,2,50.0,25,1,7.4,1,0,0.0,0,0,3.4
2013,jacoby jones,BAL,4,1,25.0,11,1,5.3,0,0,,0,0,0.0
2013,john kuhn,GNB,4,3,75.0,11,0,4.7,2,1,50.0,6,0,4.0
2013,eddie lacy,GNB,4,4,100.0,12,0,4.7,4,4,100.0,12,0,8.0
2013,vonta leach,BAL,4,2,50.0,8,1,5.3,2,1,50.0,2,1,5.1
2013,marshawn lynch,SEA,4,3,75.0,20,2,8.2,3,2,66.67,13,2,13.0
2013,dennis pitta,BAL,4,2,50.0,7,1,5.3,3,1,33.33,1,1,7.7
2013,rueben randle,NYG,4,3,75.0,10,2,7.3,3,2,66.67,11,2,15.0
2013,kyle rudolph,MIN,4,1,25.0,3,0,6.6,2,0,0.0,0,0,7.7
2013,zac stacy,STL,4,3,75.0,-2,1,5.4,1,1,100.0,4,1,2.5
2013,mike tolbert,CAR,4,3,75.0,19,2,7.5,3,2,66.67,13,2,13.0
2013,tiquan underwood,TAM,4,1,25.0,7,1,7.7,3,1,33.33,7,1,11.5
2013,ben watson,NOR,4,2,50.0,5,2,4.9,3,2,66.67,5,2,7.3
2013,edwin baker,CLE,3,2,66.67,12,0,4.1,0,0,,0,0,0.0
2013,brandon bostick,GNB,3,0,0.0,0,0,3.5,1,0,0.0,0,0,2.0
2013,michael bush,CHI,3,2,66.67,27,1,3.6,1,0,0.0,0,0,2.2
2013,john carlson,MIN,3,0,0.0,0,0,4.9,1,0,0.0,0,0,3.8
2013,knile davis,KAN,3,2,66.67,17,0,4.0,0,0,,0,0,0.0
2013,tandon doss,BAL,3,0,0.0,0,0,4.0,2,0,0.0,0,0,5.1
2013,joel dreessen,DEN,3,1,33.33,1,1,2.7,2,1,50.0,1,1,3.3
2013,rhett ellison,MIN,3,2,66.67,25,1,4.9,1,0,0.0,0,0,3.8
2013,jacoby ford,OAK,3,1,33.33,7,0,5.7,3,1,33.33,7,0,10.3
2013,arian foster,HOU,3,1,33.33,5,1,4.6,2,1,50.0,5,1,5.3
2013,toby gerhart,MIN,3,2,66.67,13,0,4.9,1,0,0.0,0,0,3.8
2013,peyton hillis,NYG,3,1,33.33,5,0,5.5,0,0,,0,0,0.0
2013,ronnie hillman,DEN,3,2,66.67,7,0,2.7,1,1,100.0,6,0,1.7
2013,will johnson,PIT,3,2,66.67,1,1,3.4,2,1,50.0,1,1,5.1
2013,brian leonard,TAM,3,1,33.33,2,0,5.8,1,0,0.0,0,0,3.8
2013,sean mcgrath,KAN,3,2,66.67,11,2,4.0,3,2,66.67,11,2,9.1
2013,kevin ogletree,2TM,3,2,66.67,8,1,,2,2,100.0,8,1,
2013,niles paul,WAS,3,1,33.33,6,0,4.8,1,0,0.0,0,0,3.1
2013,bilal powell,NYJ,3,2,66.67,7,0,6.1,2,1,50.0,1,0,8.3
2013,michael preston,TEN,3,2,66.67,18,2,5.6,3,2,66.67,18,2,10.3
2013,bobby rainey,TAM,3,3,100.0,9,1,5.8,2,2,100.0,4,1,7.7
2013,isaac redman,PIT,3,2,66.67,7,0,3.4,2,1,50.0,0,0,5.1
2013,da'rick rogers,IND,3,2,66.67,10,1,4.1,1,1,100.0,2,1,2.9
2013,jeremy ross,DET,3,1,33.33,5,1,3.9,3,1,33.33,5,1,8.8
2013,marcus thigpen,MIA,3,3,100.0,22,1,4.7,0,0,,0,0,0.0
2013,fozzy whittaker,CLE,3,1,33.33,17,1,4.1,1,0,0.0,0,0,2.4
2013,stedman bailey,STL,2,1,50.0,12,0,2.7,0,0,,0,0,0.0
2013,jonathan baldwin,SFO,2,0,0.0,0,0,4.1,1,0,0.0,0,0,3.4
2013,jake ballard,ARI,2,2,100.0,7,2,2.9,2,2,100.0,7,2,6.1
2013,josh boyce,NWE,2,0,0.0,0,0,2.5,2,0,0.0,0,0,5.3
2013,ronnie brown,SDG,2,2,100.0,23,0,2.3,0,0,,0,0,0.0
2013,stephen burton,JAX,2,1,50.0,5,0,2.6,0,0,,0,0,0.0
2013,james casey,PHI,2,0,0.0,0,0,3.6,2,0,0.0,0,0,8.7
2013,tashard choice,BUF,2,1,50.0,5,0,5.4,1,1,100.0,5,0,5.6
2013,juron criner,OAK,2,0,0.0,0,0,3.8,2,0,0.0,0,0,6.9
2013,ed dickson,BAL,2,2,100.0,8,1,2.7,1,1,100.0,1,1,2.6
2013,jack doyle,IND,2,1,50.0,-4,0,2.7,1,0,0.0,0,0,2.9
2013,jeremy ebert,JAX,2,0,0.0,0,0,2.6,1,0,0.0,0,0,2.4
2013,frank gore,SFO,2,2,100.0,12,0,4.1,1,1,100.0,4,0,3.4
2013,virgil green,DEN,2,1,50.0,5,0,1.8,1,0,0.0,0,0,1.7
2013,chad hall,KAN,2,1,50.0,11,0,2.7,0,0,,0,0,0.0
2013,cory harkey,STL,2,2,100.0,0,1,2.7,1,1,100.0,2,1,2.5
2013,dwayne harris,DAL,2,2,100.0,19,1,3.1,1,1,100.0,7,1,2.5
2013,junior hemingway,KAN,2,2,100.0,20,2,2.7,1,1,100.0,3,1,3.0
2013,josh hill,NOR,2,2,100.0,11,1,2.4,1,1,100.0,3,1,2.4
2013,fred jackson,BUF,2,2,100.0,10,0,5.4,0,0,,0,0,0.0
2013,aj jenkins,KAN,2,1,50.0,4,0,2.7,1,0,0.0,0,0,3.0
2013,jerrel jernigan,NYG,2,2,100.0,15,0,3.6,0,0,,0,0,0.0
2013,greg jones,HOU,2,0,0.0,0,0,3.1,1,0,0.0,0,0,2.6
2013,nick kasa,OAK,2,1,50.0,9,1,3.8,2,1,50.0,9,1,6.9
2013,doug martin,TAM,2,0,0.0,0,0,3.8,1,0,0.0,0,0,3.8
2013,ryan mathews,SDG,2,2,100.0,17,1,2.3,0,0,,0,0,0.0
