season,team_x,player_name,gsis_id,snaps,team_snaps,games_played,receptions,rec_yards,rec_tds,targets,air_yards,target_share,touch_perc,yards_after_catch,stand_fp,ppr_fp,half_ppr_fp,adot,team_y,rz_targets,rz_receptions,rz_catch_rate,rz_rec_yards,rz_rec_tds,rz_target_share,rz10_targets,rz10_receptions,rz10_catch_rate,rz10_rec_yards,rz10_rec_tds,rz10_target_share
2013,NYJ,david nelson,00-0027322,569,762.0,12.0,36.0,423.0,2.0,60.0,686.0,10.54,10.54,108.0,54.300000000000004,90.30000000000001,72.30000000000001,11.433333333333334,NYJ,10.0,6.0,60.0,43.0,2.0,20.4,4.0,3.0,75.0,13.0,2.0,16.7
2013,NYJ,jeremy kerley,00-0028091,567,810.0,12.0,43.0,523.0,3.0,72.0,633.0,12.7,13.4,178.0,70.30000000000001,113.30000000000001,91.80000000000001,8.791666666666666,NYJ,8.0,5.0,62.5,40.0,2.0,16.3,3.0,1.0,33.33,0.0,0.0,12.5
2013,TB,tiquan underwood,00-0027156,563,770.0,12.0,24.0,440.0,4.0,46.0,625.0,8.17,8.17,102.0,68.0,92.0,80.0,13.58695652173913,TAM,4.0,1.0,25.0,7.0,1.0,7.7,3.0,1.0,33.33,7.0,1.0,11.5
2013,WAS,santana moss,00-0020494,551,1144.0,16.0,42.0,452.0,2.0,79.0,641.0,14.34,14.88,182.0,57.2,99.2,78.2,8.113924050632912,WAS,7.0,3.0,42.86,20.0,2.0,11.3,3.0,2.0,66.67,12.0,2.0,9.4
2013,BAL,jacoby jones,00-0025460,549,859.0,12.0,37.0,455.0,2.0,68.0,1006.0,12.2,12.57,105.0,57.5,94.5,76.0,14.794117647058824,BAL,4.0,1.0,25.0,11.0,1.0,5.3,0.0,0.0,,0.0,0.0,0.0
2013,NE,aaron dobson,00-0030540,547,873.0,12.0,37.0,519.0,4.0,72.0,1069.0,13.16,13.16,191.0,75.9,112.9,94.4,14.847222222222221,NWE,9.0,4.0,44.44,40.0,2.0,11.3,5.0,1.0,20.0,0.0,0.0,13.2
2013,CIN,marvin jones,00-0029293,542,1132.0,16.0,51.0,712.0,10.0,80.0,1052.0,14.76,16.24,252.0,131.2,182.2,156.7,13.15,CIN,14.0,12.0,85.71,105.0,9.0,21.9,8.0,7.0,87.5,39.0,4.0,23.5
2013,CHI,earl bennett,00-0026210,541,1007.0,15.0,32.0,243.0,4.0,43.0,327.0,7.95,7.95,61.0,48.3,80.3,64.3,7.604651162790698,CHI,7.0,6.0,85.71,43.0,4.0,8.4,5.0,4.0,80.0,18.0,3.0,11.1
2013,CLE,davone bess,00-0026000,534,975.0,14.0,42.0,362.0,2.0,86.0,524.0,16.1,16.1,149.0,48.2,90.2,69.2,6.093023255813954,CLE,6.0,2.0,33.33,18.0,1.0,8.2,2.0,1.0,50.0,1.0,1.0,4.9
2013,DAL,miles austin,00-0023921,524,713.0,11.0,24.0,244.0,0.0,49.0,357.0,9.35,9.35,101.0,24.400000000000002,48.400000000000006,36.400000000000006,7.285714285714286,DAL,1.0,1.0,100.0,8.0,0.0,1.5,1.0,1.0,100.0,8.0,0.0,2.5
2013,MIA,rishard matthews,00-0029580,520,1027.0,16.0,41.0,448.0,2.0,67.0,577.0,12.88,12.88,151.0,56.800000000000004,97.80000000000001,77.30000000000001,8.611940298507463,MIA,5.0,3.0,60.0,32.0,2.0,7.8,2.0,1.0,50.0,6.0,1.0,7.7
