"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Marquez Stevenson","BUF","3.5","39.9","0.4","0.0","0.0","0.0","0.0","6.0"
"Brandon Powell","LAR","3.6","40.7","0.3","0.0","0.0","0.0","0.0","6.0"
"Jalen Nailor","MIN","3.4","39.6","0.3","0.0","0.0","0.0","0.0","5.7"
"Stanley Morgan Jr.","CIN","3.1","39.1","0.3","0.0","0.0","0.0","0.0","5.6"
"Andy Isabella","ARI","3.2","40.2","0.3","0.0","0.0","0.0","0.0","5.5"
"Cam Sims","WAS","3.1","38.8","0.3","0.0","0.0","0.0","0.0","5.3"
"Shi Smith","CAR","3.4","38.6","0.2","0.0","0.0","0.0","0.0","4.8"
"Auden Tate","ATL","2.7","33.7","0.2","0.0","0.0","0.0","0.0","4.7"
"Tajae Sharpe","CHI","3.0","33.9","0.2","0.0","0.0","0.0","0.0","4.7"
"Preston Williams","MIA","1.5","19.3","0.2","0.0","0.0","0.0","0.0","3.1"
"Jason Moore Jr.","LAC","1.7","21.0","0.2","0.0","0.0","0.0","0.0","3.0"
"Seth Williams","DEN","1.7","19.4","0.2","0.0","0.0","0.0","0.0","2.9"
"Dax Milne","WAS","1.6","17.8","0.1","0.0","0.0","0.0","0.0","2.5"
"Bo Melton","SEA","1.7","18.7","0.1","0.0","0.0","0.0","0.0","2.4"
"Dezmon Patmon","IND","1.5","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Jeff Smith","NYJ","1.5","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Ty Montgomery","NE","1.7","17.7","0.1","0.0","0.0","0.0","0.0","2.4"
"Greg Ward","PHI","1.5","12.9","0.2","0.0","0.0","0.0","0.0","2.2"
""
""
