,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
137,Jason Cabinda,DET,RB,2.1,9.1,0.1,4.1,31.2,0.2,0.0,0.0,0.0,0,0.0,0.0
138,Adam Prentice,NO,RB,4.4,18.9,0.1,2.0,14.7,0.1,0.0,0.0,0.0,0,0.0,0.0
139,Michael Burton,KC,RB,7.1,30.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
140,Zack Moss,BUF,RB,7.5,30.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
141,Giovanni Ricci,CAR,RB,0.0,0.0,0.0,4.3,31.9,0.3,0.0,0.0,0.0,0,0.0,0.0
142,Reggie Gilliam,BUF,RB,0.0,0.0,0.0,4.4,32.6,0.2,0.0,0.0,0.0,0,0.0,0.0
143,Larry Rountree III,LAC,RB,4.1,17.1,0.2,2.2,15.4,0.1,0.0,0.0,0.0,0,0.0,0.0
144,Trevon Wesco,NYJ,RB,0.0,0.0,0.0,4.2,31.3,0.2,0.0,0.0,0.0,0,0.0,0.0
145,Patrick Taylor Jr.,GB,RB,3.8,16.3,0.1,2.1,14.8,0.1,0.0,0.0,0.0,0,0.0,0.0
146,Khari Blasingame,CHI,RB,0.0,0.0,0.0,4.0,29.6,0.2,0.0,0.0,0.0,0,0.0,0.0
147,Derek Watt,PIT,RB,0.0,0.0,0.0,4.4,30.8,0.2,0.0,0.0,0.0,0,0.0,0.0
148,Trayveon Williams,CIN,RB,0.0,0.0,0.0,4.0,28.2,0.2,0.0,0.0,0.0,0,0.0,0.0
149,Gabe Nabers,LAC,RB,4.3,18.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
150,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
151,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Cooper Kupp,LAR,WR,4.1,20.8,0.1,124.3,"1,570.3",11.9,0.8,0.0,0.0,0,0.0,0.0
2,Deebo Samuel,SF,WR,78.4,458.9,5.6,69.9,"1,095.7",4.8,1.7,0.0,0.0,0,0.0,0.0
3,Justin Jefferson,MIN,WR,4.6,17.2,0.1,102.1,"1,516.9",8.5,0.8,0.0,0.0,0,0.0,0.0
4,Ja'Marr Chase,CIN,WR,12.3,60.5,0.3,88.2,"1,374.7",9.8,0.9,0.0,0.0,0,0.0,0.0
5,Stefon Diggs,BUF,WR,0.5,4.5,0.0,101.9,"1,291.4",8.9,0.8,0.0,0.0,0,0.0,0.0
6,Davante Adams,LV,WR,0.0,0.0,0.0,110.0,"1,364.2",7.3,0.7,0.0,0.0,0,0.0,0.0
7,Mike Evans,TB,WR,0.5,3.5,0.0,80.1,"1,120.9",10.3,0.7,0.0,0.0,0,0.0,0.0
8,CeeDee Lamb,DAL,WR,8.9,65.1,0.2,90.3,"1,209.0",7.2,0.7,0.0,0.0,0,0.0,0.0
9,Tyreek Hill,MIA,WR,9.5,69.2,0.2,98.2,"1,156.1",7.7,0.8,0.0,0.0,0,0.0,0.0
10,Tee Higgins,CIN,WR,0.5,2.0,0.0,84.7,"1,186.3",7.7,0.8,0.0,0.0,0,0.0,0.0
11,Mike Williams,LAC,WR,0.0,0.0,0.0,71.2,"1,097.4",8.6,0.6,0.0,0.0,0,0.0,0.0
12,A.J. Brown,PHI,WR,1.0,10.5,0.0,74.8,"1,131.0",7.7,0.7,0.0,0.0,0,0.0,0.0
13,Jaylen Waddle,MIA,WR,5.0,25.7,1.2,98.7,"1,055.6",7.1,1.0,0.0,0.0,0,0.0,0.0
14,Keenan Allen,LAC,WR,0.5,1.0,0.0,104.8,"1,129.3",7.0,0.8,0.0,0.0,0,0.0,0.0
15,Michael Pittman Jr.,IND,WR,4.8,36.4,0.1,89.6,"1,115.7",6.4,0.8,0.0,0.0,0,0.0,0.0
